"cluster_name","primerid","contrast","Pr(>Chisq)","ci.hi","ci.lo","coef","fdr"
"2","CTSH","ageYOUNG",0.0221401534518419,-0.0367685799358442,-0.114910291531182,-0.0758394357335129,0.137167450219398
"2","CTSK","ageYOUNG",0.000702123421401475,0.248424346188342,0.104287724853876,0.176356035521109,0.0271259988996208
"2","CTSL","ageYOUNG",0.126026011356294,0.154570267697692,0.0105958828292021,0.0825830752634469,0.306344278846917
"2","CTSO","ageYOUNG",0.0767054216945751,-0.00419902031651809,-0.0680738395732366,-0.0361364299448773,0.239485933731923
"2","CTSS","ageYOUNG",0.980427180499604,0.0304713067400409,-0.0313871066944416,-0.000457899977200374,0.988217508302279
"2","CTSZ","ageYOUNG",0.0268772434141957,-0.014662529083994,-0.0894145651482382,-0.0520385471161161,0.148236004337553
"2","CTTN","ageYOUNG",0.651894907670627,0.0573808329189383,-0.0512288317089247,0.00307600060500679,0.769379758363852
"2","CUEDC2","ageYOUNG",0.352720572124671,0.0333326664621904,-0.0317726496532605,0.000780008404464988,0.542464283577457
"2","CUTA","ageYOUNG",0.663113920945241,0.0524369865271876,-0.0638854640470829,-0.00572423875994765,0.776998008634092
"2","CWC15","ageYOUNG",0.021519546480858,0.0917333256272665,0.0316648544168892,0.0616990900220778,0.134912103713155
"2","CXCL1","ageYOUNG",0.0387689529657481,-0.126354287533725,-0.590149599366793,-0.358251943450259,0.175741298945804
"2","CXCL12","ageYOUNG",0.00539984031185583,0.352224239094782,0.157832740590599,0.25502848984269,0.07224395729729
"2","CXCL14","ageYOUNG",0.0128125478340213,0.479639598173088,0.0190651334248843,0.249352365798986,0.103044833558374
"2","CXCL2","ageYOUNG",0.000161434698803484,0.0775839530049568,-0.243901075796451,-0.0831585613957471,0.0134857034976081
"2","CXCL3","ageYOUNG",0.00057632252067137,-0.153651355548952,-0.484025616410317,-0.318838485979634,0.0239491454666128
"2","CXCR4","ageYOUNG",0.0259904035850103,-0.0160218066062471,-0.110629650813612,-0.0633257287099297,0.146111217774718
"2","CXXC5","ageYOUNG",0.0312237814016216,0.148488721820433,0.0410049606087935,0.0947468412146132,0.158185092005539
"2","CYB5A","ageYOUNG",0.261974733999168,0.00936623388383494,-0.101910889287533,-0.0462723277018489,0.453997846600734
