"cluster_name","primerid","contrast","Pr(>Chisq)","ci.hi","ci.lo","coef","fdr"
"2","LYPD3","ageYOUNG",0.000471150797308421,-0.108519179928465,-0.189252469067593,-0.148885824498029,0.0213898949716491
"2","RPL23","ageYOUNG",0.000474637085502287,0.417338954686369,0.262353477586998,0.339846216136684,0.0213898949716491
"2","CFD","ageYOUNG",0.000509133951040946,0.837115151977469,0.606263329255403,0.721689240616436,0.0224570376428403
"2","PLA2G2A","ageYOUNG",0.000511430346318698,-0.0765267724417924,-0.201625522705183,-0.139076147573488,0.0224570376428403
"2","CEBPD","ageYOUNG",0.000587365903414738,0.102348398022629,-0.0993000018182263,0.00152419810220117,0.0239491454666128
"2","CXCL3","ageYOUNG",0.00057632252067137,-0.153651355548952,-0.484025616410317,-0.318838485979634,0.0239491454666128
"2","HSPA1B","ageYOUNG",0.000587050664840524,-0.280262123569214,-0.482537936510435,-0.381400030039824,0.0239491454666128
"2","LOXL1","ageYOUNG",0.00057133376962236,0.134836241920897,0.0652609824631786,0.100048612192038,0.0239491454666128
"2","PTGDS","ageYOUNG",0.000564128849124762,0.557793740637199,0.295748474678976,0.426771107658087,0.0239491454666128
"2","SFRP2","ageYOUNG",0.000565434061445624,-0.333592696659267,-0.582360438932903,-0.457976567796085,0.0239491454666128
"2","MAP1B","ageYOUNG",0.000600181869780537,0.25532257076776,0.131470623333545,0.193396597050653,0.0241837988705687
"2","BTG2","ageYOUNG",0.000649926675599328,0.200274456270618,0.0952529048841547,0.147763680577386,0.0257130921245105
"2","LGALS3BP","ageYOUNG",0.000653150077323332,0.186575128606649,0.0893111689906226,0.137943148798636,0.0257130921245105
"2","CTSK","ageYOUNG",0.000702123421401475,0.248424346188342,0.104287724853876,0.176356035521109,0.0271259988996208
"2","NDUFS4","ageYOUNG",0.000710733193257724,0.21189803466567,0.11618991536555,0.16404397501561,0.0271259988996208
"2","PODN","ageYOUNG",0.000712799971084926,0.124803167134593,0.0717724145054388,0.0982877908200161,0.0271259988996208
"2","MT-ND4","ageYOUNG",0.000720943572372753,0.701490877226544,0.388483015545613,0.544986946386079,0.027134414674469
